Date,Open,High,Low,Close,Adj Close,Volume
2018-03-21,156.570007,158.199997,155.919998,156.690002,156.690002,3482200
2018-03-22,155.000000,155.250000,152.000000,152.089996,152.089996,4746300
2018-03-23,152.250000,152.580002,148.539993,148.889999,148.889999,4440900
2018-03-26,151.210007,153.660004,150.279999,153.369995,153.369995,4103900
2018-03-27,153.949997,154.869995,151.160004,151.910004,151.910004,3883700
2018-03-28,152.070007,153.860001,151.889999,152.520004,152.520004,3664800
2018-03-29,153.070007,153.889999,151.080002,153.429993,153.429993,3420000
2018-04-02,153.339996,153.380005,148.429993,150.070007,150.070007,5150400
2018-04-03,150.800003,151.000000,148.300003,149.850006,149.850006,4135700
2018-04-04,147.889999,154.470001,147.449997,154.119995,154.119995,4805300
2018-04-05,154.440002,154.919998,153.339996,154.029999,154.029999,3185400
2018-04-06,153.460007,153.949997,149.539993,150.570007,150.570007,3672900
2018-04-09,151.800003,154.660004,151.740005,152.690002,152.690002,4413200
2018-04-10,155.029999,156.600006,154.750000,155.389999,155.389999,3806400
2018-04-11,154.369995,155.779999,153.880005,155.360001,155.360001,3306500
2018-04-12,156.750000,158.979996,156.669998,158.070007,158.070007,5639400
2018-04-13,158.669998,159.220001,155.910004,156.710007,156.710007,4057100
2018-04-16,157.990005,159.139999,157.669998,157.889999,157.889999,4186800
2018-04-17,158.820007,162.000000,158.509995,160.910004,160.910004,10207500
2018-04-18,152.139999,152.630005,148.259995,148.789993,148.789993,20381700
2018-04-19,149.190002,149.210007,146.619995,147.699997,147.699997,8086100
2018-04-20,147.899994,147.970001,144.509995,144.899994,144.899994,8217400
